"","project","cell_specimen_id","cell_specimen_name","hemisphere","structure","donor_id","donor_name","biological_sex","age","ethnicity","medical_conditions","full_genotype","dendrite_type","apical_dendrite_status","neuron_reconstruction_type","cell_soma_normalized_depth","depth_from_pia_um","ephys_session_id","transcriptomics_sample_id","transcriptomics_batch","corresponding_AIT2.3.1_ID","corresponding_AIT2.3.1_alias","subclass"
"2465","mIVSCC-MET",754807838,"Sst-IRES-Cre;Ai167-415615.03.02.02","right","VISp2/3",415615,"Sst-IRES-Cre;Ai167-415615","M","P46",NA,NA,"Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt","aspiny",NA,"",NA,NA,754807701,"SM.GE5VR_S107_E1.50","RSC-179","CS180626100001","Lamp5 Krt73","Lamp5"
"2466","mIVSCC-MET",754814460,"Sst-IRES-Cre;Ai14-414132.06.02.03","right","VISam5",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754814165,"SM.GE8XF_S094_E1.50","RSC-178","CS180626100037","Sst Myh8 Etv1 ","Sst"
"2467","mIVSCC-MET",754816429,"Sst-IRES-Cre;Ai14-414132.05.01.04","left","VISp5",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754816295,"SM.GE8XF_S091_E1.50","RSC-178","CS180626100049","Sst Rxfp1 Prdm8","Sst"
"2468","mIVSCC-MET",754822442,"Sst-IRES-Cre;Ai14-414132.03.01.04","left","VISp2/3",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754822180,"SM.GE5VR_S100_E1.50","RSC-179","CS180626100034","Sst Calb2 Necab1","Sst"
"2469","mIVSCC-MET",754825708,"Sst-IRES-Cre;Ai14-414132.05.01.05","left","VISp2/3",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754825661,"SM.GE8XF_S092_E1.50","RSC-178","CS180626100059","Pvalb Tpbg","Pvalb"
"2470","mIVSCC-MET",754834825,"Sst-IRES-Cre;Ai14-414132.06.02.05","right","VISam4",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754834673,"SM.GE8XF_S096_E1.50","RSC-178","CS180626100035","Sst Calb2 Pdlim5","Sst"
"2471","mIVSCC-MET",754840804,"Sst-IRES-Cre;Ai14-414132.06.02.06","right","VISam6a",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754840671,"SM.GE5VR_S097_E1.50","RSC-179","CS180626100048","Sst Rxfp1 Eya1","Sst"
"2472","mIVSCC-MET",754848460,"Sst-IRES-Cre;Ai14-414132.03.01.06","left","VISp6a",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754848355,"SM.GE5VR_S101_E1.50","RSC-179","CS180626100050","Sst Nts","Sst"
"2473","mIVSCC-MET",754857573,"Sst-IRES-Cre;Ai14-414132.04.02.02","right","VISp4",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754857427,"SM.GE8XF_S086_E1.50","RSC-178","CS180626100034","Sst Calb2 Necab1","Sst"
"2474","mIVSCC-MET",754857707,"Sst-IRES-Cre;Ai14-414132.03.01.07","left","VISp5",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754857650,"SM.GE5VR_S102_E1.50","RSC-179","CS180626100042","Sst Hpse Sema3c","Sst"
"2475","mIVSCC-MET",754872367,"Sst-IRES-Cre;Ai14-414132.03.02.01","right","VISp6a",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754872352,"SM.GE8XF_S081_E1.50","RSC-178","CS180626100044","Sst Crhr2 Efemp1","Sst"
"2476","mIVSCC-MET",754873107,"Sst-IRES-Cre;Ai14-414132.03.02.02","right","VISp6a",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754873088,"SM.GE8XF_S082_E1.50","RSC-178","CS180626100044","Sst Crhr2 Efemp1","Sst"
"2477","mIVSCC-MET",754873245,"Sst-IRES-Cre;Ai167-415615.02.01.01","left","VISp5",415615,"Sst-IRES-Cre;Ai167-415615","M","P46",NA,NA,"Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt","aspiny",NA,"",NA,NA,754873216,"SM.GE5VR_S108_E1.50","RSC-179","CS180626100036","Sst Nr2f2 Necab1","Sst"
"2478","mIVSCC-MET",754893893,"Sst-IRES-Cre;Ai167-415615.06.02.01","right","VISp5",415615,"Sst-IRES-Cre;Ai167-415615","M","P46",NA,NA,"Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt","aspiny",NA,"",NA,NA,754893877,"SM.GE5VR_S109_E1.50","RSC-179","CS180626100047","Sst Tac2 Tacstd2","Sst"
"2479","mIVSCC-MET",754893997,"Sst-IRES-Cre;Ai14-414132.03.02.03","right","VISp6a",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754893982,"SM.GE8XF_S083_E1.50","RSC-178","CS180626100054","Pvalb Calb1 Sst","Pvalb"
